url,address,postCode,latitude,longitude,NumBeds,NumBaths,price,buildingStyle,buildingType,buildingDevelopment,buildingExteriorFinish,buildingFirePlace,buildingHeatingType,buildingHeatingFuel,buildingCoolingType,propertyOwnershipType,propertyType,parkingType,numParking
https://www.royallepage.ca/en/property/ontario/toronto/2508-219-fort-york-blvd-w/16190233/mlsc5365048/,"#2508 -219 FORT YORK BLVD W, Toronto, Ontario, M5V 1B1",M5V 1B1,0,0,2,1,829900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/11-27-carnahan-terr/16190614/mlse5364252/,"#11 -27 CARNAHAN TERR, Toronto, Ontario, M4E 0B1",M4E 0B1,0,0,2,2,819900,Townhouse,,,Brick,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Garage,1
https://www.royallepage.ca/en/property/ontario/toronto/3910-87-peter-st-n/16186276/mlsc5363796/,"#3910 -87 PETER ST N, Toronto, Ontario, M5V 2G4",M5V 2G4,0,0,1+1,1,819900,Apartment,,,"Brick, Stucco",,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/33-tweedrock-cres/16190620/mlse5364448/,"33 TWEEDROCK CRES, Toronto, Ontario, M1E 4L4",M1E 4L4,0,0,3,2,800000,Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Garage,4
https://www.royallepage.ca/en/property/ontario/toronto/101-8-covington-rd/16190666/mlsc5364321/,"#101 -8 COVINGTON RD, Toronto, Ontario, M6A 3E5",M6A 3E5,0,0,2,2,799900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/235-prescott-ave/16191597/mlsw5364121/,"235 PRESCOTT AVE, Toronto, Ontario, M6N 3G9",M6N 3G9,0,0,3,3,799900,Semi-Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,1
https://www.royallepage.ca/en/property/ontario/toronto/62-valhalla-blvd/16190895/mlse5364137/,"62 VALHALLA BLVD, Toronto, Ontario, M1N 3B3",M1N 3B3,0,0,2,2,799900,Semi-Detached,,,Vinyl,,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,1
https://www.royallepage.ca/en/property/ontario/toronto/25-pharmacy-ave/16190621/mlse5364465/,"25 PHARMACY AVE, Toronto, Ontario, M1L 3E3",M1L 3E3,0,0,3+1,1,799800,Semi-Detached,,,"Brick, Vinyl",,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,15
https://www.royallepage.ca/en/property/ontario/toronto/77-newlin-cres/16190852/mlsw5364035/,"77 NEWLIN CRES, Toronto, Ontario, M3L 1X5",M3L 1X5,0,0,2+2,2,799000,Semi-Detached,,,Brick,,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,3
https://www.royallepage.ca/en/property/ontario/toronto/30-51-broadfield-drive/16196976/mls40164178/,"30-51 BROADFIELD Drive, Toronto, ON, M9C 5P2",M9C 5P2,0,0,4,3,799000,,,,,,,,,,,,
